regime,ym,cad_mwh,n,vintage
hoep,2018-01,30.325,744,
hoep,2018-02,18.006,672,
hoep,2018-03,16.496,744,
hoep,2018-04,28.557,720,
hoep,2018-05,11.539,744,
hoep,2018-06,16.733,720,
hoep,2018-07,28.597,744,
hoep,2018-08,28.919,744,
hoep,2018-09,26.926,720,
hoep,2018-10,12.778,744,
hoep,2018-11,23.619,720,
hoep,2018-12,26.605,744,
hoep,2019-01,26.363,744,
hoep,2019-02,27.081,672,
hoep,2019-03,26.696,744,
hoep,2019-04,14.79,720,
hoep,2019-05,7.012,744,
hoep,2019-06,3.679,720,
hoep,2019-07,20.532,744,
hoep,2019-08,14.813,744,
hoep,2019-09,13.37,720,
hoep,2019-10,6.55,744,
hoep,2019-11,19.624,720,
hoep,2019-12,20.589,744,
hoep,2020-01,13.923,744,
hoep,2020-02,13.995,696,
hoep,2020-03,13.44,744,
hoep,2020-04,5.782,720,
hoep,2020-05,7.31,744,
hoep,2020-06,11.221,720,
hoep,2020-07,18.599,744,
hoep,2020-08,18.169,744,
hoep,2020-09,13.783,720,
hoep,2020-10,10.645,744,
hoep,2020-11,9.544,720,
hoep,2020-12,15.162,744,
hoep,2021-01,16.864,744,
hoep,2021-02,32.52,672,
hoep,2021-03,17.069,744,
hoep,2021-04,8.523,720,
hoep,2021-05,13.566,744,
hoep,2021-06,24.418,720,
hoep,2021-07,26.084,744,
hoep,2021-08,40.481,744,
hoep,2021-09,29.243,720,
hoep,2021-10,38.612,744,
hoep,2021-11,39.359,720,
hoep,2021-12,34.615,744,
hoep,2022-01,42.667,744,
hoep,2022-02,39.423,672,
hoep,2022-03,37.297,744,
hoep,2022-04,27.766,720,
hoep,2022-05,30.614,744,
hoep,2022-06,34.824,720,
hoep,2022-07,57.694,744,
hoep,2022-08,80.752,744,
hoep,2022-09,58.702,720,
hoep,2022-10,44.28,744,
hoep,2022-11,30.281,720,
hoep,2022-12,53.744,744,
hoep,2023-01,33.281,744,
hoep,2023-02,22.67,672,
hoep,2023-03,24.769,744,
hoep,2023-04,20.474,720,
hoep,2023-05,16.547,744,
hoep,2023-06,29.131,720,
hoep,2023-07,38.533,744,
hoep,2023-08,30.334,744,
hoep,2023-09,36.277,720,
hoep,2023-10,30.09,744,
hoep,2023-11,29.896,720,
hoep,2023-12,30.306,744,
hoep,2024-01,42.27,744,
hoep,2024-02,27.935,696,
hoep,2024-03,28.366,744,
hoep,2024-04,28.062,720,
hoep,2024-05,27.309,744,
hoep,2024-06,29.011,720,
hoep,2024-07,35.437,744,
hoep,2024-08,36.149,744,
hoep,2024-09,30.434,720,
hoep,2024-10,32.859,744,
hoep,2024-11,29.316,720,
hoep,2024-12,38.428,744,
hoep,2025-01,65.985,744,
hoep,2025-02,76.679,672,
hoep,2025-03,47.442,744,
hoep,2025-04,39.181,720,
zonal,2026-06,44.93,30,2026-08-11
zonal,2026-07,71.824,31,2026-08-11
zonal,2026-08,67.807,24,2026-08-24
